--------------------------------------------------------------------------------------------
PM/GM/FME Curs 2015-16, exercici implementacio del simplex : cjt. dades  1, problema PL 2
--------------------------------------------------------------------------------------------
c=
  83  49 -71 -17 -71  98  90 -87  31  18  15 -39  -3 -78   0   0   0   0   0   0 

A=
   66  -73   53   79  -25   56   27   80   87   43 -100  -27   66  -61    0    0    0    0    0    0 
  -45   72  -21   19   -7   85  -14  -66   -4   13   45   13   96   63    0    0    0    0    0    0 
   62  -98   47  -20   70  -27  -86  -92  -14   70   58  -45   63   20    0    0    0    0    0    0 
   73   86  -46   67  -44  -40   -3  -35   83   63   96   67   19  -80    0    0    0    0    0    0 
   64   65   52   52   95   55   84   74  100   99   71   57   62   80    1    0    0    0    0    0 
   57   68   28  -21   80   80   56  -68   51   88  -88  -92    0   43    0    1    0    0    0    0 
   75   16   39  -89  -38   38   88   54  -23   43   64  -24   11  -20    0    0    1    0    0    0 
  -20  -25  -47    0   73   91   94  -39   75   71   -7  -76   71  -21    0    0    0    1    0    0 
   72   45   87  -76   85   -4  -28   22   77   28  -79   49   37  -98    0    0    0    0   -1    0 
    3  -73   79   47    6   12   44  -12    4   65   84  -97   33   27    0    0    0    0    0   -1 

b=
  271  249    8  306 1011  283  235  241  216  221 

