--------------------------------------------------------------------------------------------
PM/GM/FME Curs 2015-16, exercici implementacio del simplex : cjt. dades  1, problema PL 4
--------------------------------------------------------------------------------------------
c=
 -74 -67 -68 -95 -57 -45 -75 -34 -63 -94 -13 -85 -77 -10   0   0   0   0   0   0   0   0   0   0 

A=
  36  20 100   4  71  21  15  24  13  37  61  96  97  16  -1   0   0   0   0   0   0   0   0   0 
  72   1  83  61  41  64  86  26  10  22  89  69  39  38   0  -1   0   0   0   0   0   0   0   0 
  27  56  21  81   8  83  36  89  48  99  48  66  38  19   0   0  -1   0   0   0   0   0   0   0 
  91  45  19  81  86  59  10  59  88  71   6  78  38  90   0   0   0  -1   0   0   0   0   0   0 
  72  85  46  42  94  86  45  57  73  33  45  57  90   3   0   0   0   0  -1   0   0   0   0   0 
  51  48  65  16   5  48  90  61  57   3  69  51   0  83   0   0   0   0   0  -1   0   0   0   0 
   1  24   3  94  26  89  35  70  69  98  69  21  84  29   0   0   0   0   0   0  -1   0   0   0 
  76  88  60  89  19  14  14  49  57  16  16  32  91  56   0   0   0   0   0   0   0  -1   0   0 
  77  16  30  23  64  17   9  93  64  37  36  78  78  74   0   0   0   0   0   0   0   0  -1   0 
  73  94  71  32  94  12  78  39  60   2  37  64  56  34   0   0   0   0   0   0   0   0   0  -1 

b=
 610 700 718 820 827 646 711 676 695 745 
