--------------------------------------------------------------------------------------------
PM/GM/FME Curs 2015-16, exercici implementacio del simplex : cjt. dades  1, problema PL 1
--------------------------------------------------------------------------------------------
c=
 -28  71  63  45  30 -76 -46 -91  63  38  23 100  58  53   0   0   0   0   0   0 

A=
 -54   1  80  42 -64  75  14  50  72 -63 -38  93 -63  19   0   0   0   0   0   0 
   4 -16  87 -61  97 -84 -88  38 -27  26  22  57  15 100   0   0   0   0   0   0 
  71  87  30  61 -32  35  57 -56  12 -19 -57   0  79 -87   0   0   0   0   0   0 
 -20 -31  96 -81   2 -24  90  10   4  23  79 -14  33 -20   0   0   0   0   0   0 
  64  59  92  83  80  67  84  59  59  74  76  92  87  87   1   0   0   0   0   0 
 -81  79 -69   8  23  60  41  32   9  63  16  70  18  -2   0   1   0   0   0   0 
  83 -19  72 -92  68  51  54  58 -63  31 -64 -97 -41   7   0   0  -1   0   0   0 
  52  45  84  58  86 -62 -28  -4  19  59 -89 -30 -52  88   0   0   0   1   0   0 
 -10  64 -12  60 -91  42 -93 -65  70  43  77  69 -93  -5   0   0   0   0  -1   0 
  62  66 -75  19  97 -90  57 -81 -59  11   4  37  23  45   0   0   0   0   0   1 

b=
  164  170  181  147 1064  268   47  227   55  117 

z*=
 -390.7288 

vb*=
 20 12  1 16 11 18  3 17  8  6 
