--------------------------------------------------------------------------------------------
PM/GM/FME Curs 2015-16, exercici implementacio del simplex : cjt. dades  1, problema PL 3
--------------------------------------------------------------------------------------------
c=
  -7 -47  -4 -79 -45  71 -11  44   1  -4  43  61 -64  -8   0   0   0   0   0   0 

A=
 -15 -54  72  91  13  86 -93  92  74 -82 -53  89 -75   0   0   0   0   0   0   0 
  94  11 -57  -3 -81  69  86  37  45 -69   7  92  70  -6   0   0   0   0   0   0 
  -4  95 -13 -42  42  16  59 -53  88 -35 -75  67 -92  14   0   0   0   0   0   0 
  39  90 -95  47 -63  13  28 -19  30   7  98 -61 -70   7   0   0   0   0   0   0 
 -78  79 -64  40  59  86   8  66   2  89  -3 -57 -86 -77  -1   0   0   0   0   0 
  -6  71 -80  76  89 -14  67 -50  60  37 -41  16 -51  43   0   1   0   0   0   0 
  30 -96 -26  51 -23  90  60 100 -86 -56 -37 -31  52  80   0   0   1   0   0   0 
  10  83  57  96  73  12  59  16  68  74  24  82  18  43   0   0   0   1   0   0 
   6  98  91   3  70  62  53  88  68  50  57   6   4  29   0   0   0   0   1   0 
  10   7  23  10  22  67  79  92  86  64  78   2  56  68   0   0   0   0   0   1 

b=
 145 295  67  51  63 218 109  17  83  23 

