--------------------------------------------------------------------------------------------
PM/GM/FME Curs 2015-16, exercici implementacio del simplex : cjt. dades 11, problema PL 3
--------------------------------------------------------------------------------------------
c=
 -58  36 -12 -82 -66  95 -92  95 -75  95 -15  40  55 -77   0   0   0   0   0   0

A=
 -26  61  99  68  13 -75 -17 -97 -63  11  57  13  73  79   0   0   0   0   0   0
  18  96 -49  46  72 -19 -87  33  72 -77  66  92  28 -85   0   0   0   0   0   0
  76 -62  90 -74 100 -34  23 -55  88  78 -19  81  57  17   0   0   0   0   0   0
 -78  56  -6   7 -29 -94  78  92  80 -45  17 -35 -34  51   0   0   0   0   0   0
  -2 -47  96 -11  96  83  44  38  14   5   8 -64  16 -67   1   0   0   0   0   0
  35 -21  96  39 -15  33  -2 -84  56  53  -2  84  71  69   0  -1   0   0   0   0
 -30  69 -18  76 -98  94 -70  38 -53 -37  43  84 -22 -13   0   0  -1   0   0   0
  18  48  63  17  45   9   9  89  72  82  89  49  10  30   0   0   0   1   0   0
  51  74   3   6  61  73  51  95  82  12  92  39  53  11   0   0   0   0   1   0
  95   6  98  12  50  93  33  73  68  54  60  23  36  72   0   0   0   0   0   1

b=
 196 206 366  60 210 411  62  20  85   3

