--------------------------------------------------------------------------------------------
PM/GM/FME Curs 2015-16, exercici implementacio del simplex : cjt. dades 11, problema PL 4
--------------------------------------------------------------------------------------------
c=
 -96 -54 -35 -48 -60  -7 -85  -1  -8 -49  -7 -50 -23 -28   0   0   0   0   0   0   0   0   0   0

A=
  83  26  92  15   6  77  56  77  12  69  77  75  90  34  -1   0   0   0   0   0   0   0   0   0
  66  54  46  90  54  24  83  27  65  24  23  78  58  71   0  -1   0   0   0   0   0   0   0   0
  68  48  98  72  96  41   4  64  53  35  72  38  34  38   0   0  -1   0   0   0   0   0   0   0
  25  54  48  63  96  55  92  40  22  55  59  81  73  69   0   0   0  -1   0   0   0   0   0   0
  58  10  27  66  75  86  18  95  18   8  39  95   7  11   0   0   0   0  -1   0   0   0   0   0
   1  66  43  82  37   5  10   9  48  70  56  74  93  83   0   0   0   0   0  -1   0   0   0   0
  75  99  15  29  70  52  81  68  24  79  43  71  21  49   0   0   0   0   0   0  -1   0   0   0
  73   3   8  69  88  71  37  35   7  13  95  86   0  20   0   0   0   0   0   0   0  -1   0   0
  10  76  69   8  29 100  84 100  30  81  33  72  13  92   0   0   0   0   0   0   0   0  -1   0
  25  78  70  32  61  45  34  15  97  58  87  92  21  30   0   0   0   0   0   0   0   0   0  -1

b=
 788 762 760 831 612 676 775 604 796 744
