--------------------------------------------------------------------------------------------
PM/GM/FME Curs 2015-16, exercici implementacio del simplex : cjt. dades 11, problema PL 2
--------------------------------------------------------------------------------------------
c=
  32 -69 -79 -20  73 -79   9 -72 -81 -84 -43 -60 -85  54   0   0   0   0   0   0

A=
 -55  71  -9  99   6  14 -11  11  88 -73  16  62  40 -52   0   0   0   0   0   0
 -67  61  34  51 -10  23 -71  -7  89  66  94 -58 -80  20   0   0   0   0   0   0
  46  48  -4  10  55 -84  24  34 -86   4  20  31   2  77   0   0   0   0   0   0
 -11  77  39  -7 -45  64 -96  46  30  94  69   4 -10 -49   0   0   0   0   0   0
  78  66  57  55  84  94  73  78  75  54  66  82  80  56   1   0   0   0   0   0
 -28  38 -57  97 -30  22 -99  25  52  92   5  -3 -12 -80   0  -1   0   0   0   0
  75  93  89 -75 -22 -26 -61  84 -58 -69  73 -63  18 -27   0   0   1   0   0   0
  95  64  80  18 -63 -26  36  50 -90 -63  83  -3 -34  35   0   0   0   1   0   0
 -22  77  51  67  95   7  83   5 -29  84 -26 -42 -83 -30   0   0   0   0  -1   0
   0  89 -70 -15   6   2  64  65  16   5 -94  48  41  91   0   0   0   0   0   1

b=
 207 145 177 205 999  21  32 183 236 249

