--------------------------------------------------------------------------------------------
PM/GM/FME Curs 2015-16, exercici implementacio del simplex : cjt. dades 11, problema PL 1
--------------------------------------------------------------------------------------------
c=
 -79 -11  55  42 -27 -52  74 -76 -13 -64 -35  79 -24 -16   0   0   0   0   0   0

A=
  65  -3 -72 100  45  -5   2  77  67  33 -46 -58 -32  69   0   0   0   0   0   0
  85 -52 -74  95  87  27   3  90 -89  53 -84  99 -35 -53   0   0   0   0   0   0
  58 -37  92 -51 -93  76   5 -51  88 -91 -21  14  57 -10   0   0   0   0   0   0
 100 -58  11  29   3  73 -18  94  93  -8 -95  49  62 -51   0   0   0   0   0   0
  87  60  97  86  60  55  73  63  94  80  71  75  54  54   1   0   0   0   0   0
 -91  63  40  32  27  42 -84  90  94 -84  66  72 -30 -71   0  -1   0   0   0   0
 -83  96  14 -95 -52  86  34 -64  28  58 -92  58  48  22   0   0   1   0   0   0
 -70 -67  46  76 -50  22  79  85  55  90   1  43  44 -57   0   0   0   1   0   0
  97  96 -12   2 -81  53  18 -82   0  63 -71 -22 -12  63   0   0   0   0  -1   0
 -65 -82  66 -51  92  76  36  64  39 -81  42  12 -97  38   0   0   0   0   0  -1

b=
  242  152   36  284 1010  165   59  298  111   88

z*=
 -791.7975

vb*=
 20  1  6  8  2 17 10 16 11 14

